"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
56;"Rfbb-24V1";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"11k";;;
57;"Rff-5V1";"R_01005_0402Metric_Pad0.57x0.30mm_HandSolder";1;"20k";;;
58;"J3";"JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical";1;"AnalogIn-Terminal3";;;
59;"Cout-24V1";"CP_Elec_6.3x7.7";1;"33uF";;;
60;"Cin1-5V1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"15uF 1.669mOhm";;;
61;"Rt-24V1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"R_US";;;
62;"J8";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
63;"Cboot-5V1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF 280mOhm";;;
64;"Cout-5V1";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"47uF";;;
65;"Sol1-Transistor1,Sol2-Transistor1";"SOT-323_SC-70_Handsoldering";2;"RTR030N05HZG";;;
66;"Ccomp1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1nF";;;
67;"L1";"L_APV_APH0850";1;"3.8uH";;;
68;"J4";"JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical";1;"AnalogIn-Terminal2";;;
69;"Rfbb-5V1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"10k";;;
70;"M2-24V1";"MOSFET_CSD19531Q5A";1;"40V";;;
71;"Cin1";"CP_Elec_8x11.9";1;"180uF";;;
72;"U3";"XCVR_MAX-M10S-00B";1;"MAX-M10S-00B";;;
73;"3.3V-StatusLED1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"0805-LED0";;;
74;"J10";"SMA_Amphenol_901-144_Vertical";1;"xBee-Antenna1";;;
75;"C_FTdecouple2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7uF";;;
76;"Sol1-R-Pulldown1,Sol2-R-Pulldown1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical";2;"10k";;;
